#{"t_start": 1763035032.7552185, "env_id": "GridWorldMoving-v0"}
r,l,t
-775.0,100,4.811549
-800.0,100,4.972278
-775.0,100,5.291741
-790.0,100,5.43762
-780.0,100,5.561982
-795.0,100,5.896682
-726.0,97,6.027981
-795.0,100,6.32655
-790.0,100,6.458114
-785.0,100,6.58333
-775.0,100,6.917979
-790.0,100,7.041769
32.0,1,7.043769
-775.0,100,7.34646
-780.0,100,7.476591
-795.0,100,7.606882
29.0,2,7.610405
-785.0,100,7.937291
-770.0,100,8.069211
32.0,1,8.071211
-795.0,100,8.405554
-785.0,100,8.553619
-785.0,100,8.677145
-790.0,100,9.012267
-770.0,100,9.147467
-795.0,100,9.261539
-790.0,100,9.589647
-785.0,100,9.718177
-780.0,100,10.035042
20.0,5,10.043057
-790.0,100,10.175112
-790.0,100,10.287397
32.0,1,10.289397
-785.0,100,10.607345
29.0,2,10.610344
-800.0,100,10.725866
-785.0,100,11.086498
-790.0,100,11.225877
-790.0,100,11.349432
17.0,6,11.357962
-770.0,100,11.696961
-795.0,100,11.828775
-785.0,100,12.166285
-775.0,100,12.313605
-775.0,100,12.431908
32.0,1,12.433899
-785.0,100,12.809347
26.0,3,12.814342
-795.0,100,12.947344
-795.0,100,13.279145
-800.0,100,13.418209
-775.0,100,13.541273
32.0,1,13.542278
-760.0,100,13.868354
-780.0,100,14.01314
-795.0,100,14.314314
-790.0,100,14.477476
-775.0,100,14.614352
-770.0,100,14.946894
-780.0,100,15.082564
-770.0,100,15.216388
23.0,4,15.411915
23.0,4,15.416915
26.0,3,15.421925
-775.0,100,15.555471
-765.0,100,15.682537
29.0,2,15.685537
-785.0,100,15.970727
-780.0,100,16.117359
-790.0,100,16.389557
-590.0,80,16.498137
-790.0,100,16.615665
-780.0,100,16.92337
-780.0,100,17.048288
-795.0,100,17.164715
-800.0,100,17.47596
-770.0,100,17.60396
-795.0,100,17.8692
26.0,3,17.8742
-775.0,100,17.996207
-785.0,100,18.115972
-770.0,100,18.422963
23.0,4,18.427963
-785.0,100,18.555587
20.0,5,18.562587
-780.0,100,18.854268
29.0,2,18.858267
-760.0,100,19.006144
-770.0,100,19.132324
-790.0,100,19.462818
-785.0,100,19.597816
20.0,5,19.60505
-790.0,100,19.916338
-785.0,100,20.047699
-790.0,100,20.173038
-790.0,100,20.499636
-770.0,100,20.628957
-790.0,100,20.744458
32.0,1,20.746458
-775.0,100,21.054638
-785.0,100,21.188167
-795.0,100,21.480574
-785.0,100,21.61648
-790.0,100,21.733531
-775.0,100,22.033039
-780.0,100,22.169042
32.0,1,22.170808
-795.0,100,22.455409
26.0,3,22.45961
-785.0,100,22.58541
-795.0,100,22.702962
-775.0,100,23.011013
-780.0,100,23.139708
-780.0,100,23.472743
-780.0,100,23.607501
-795.0,100,23.735069
-790.0,100,24.024906
-780.0,100,24.16059
-795.0,100,24.459561
20.0,5,24.465561
-28.0,11,24.479089
-785.0,100,24.616152
-780.0,100,24.739678
-795.0,100,25.040055
-790.0,100,25.169516
-780.0,100,25.454484
-770.0,100,25.578749
-800.0,100,25.704714
-800.0,100,26.00332
29.0,2,26.007319
-785.0,100,26.138874
20.0,5,26.144874
-795.0,100,26.423999
32.0,1,26.426
-785.0,100,26.55808
-795.0,100,26.682168
-790.0,100,26.980827
-790.0,100,27.117344
-790.0,100,27.238682
-780.0,100,27.53862
-775.0,100,27.665142
-790.0,100,27.948148
-800.0,100,28.078087
-790.0,100,28.194096
-422.0,59,28.455179
32.0,1,28.457179
-770.0,100,28.592218
-780.0,100,28.709357
-775.0,100,29.018394
-780.0,100,29.135915
29.0,2,29.138915
-785.0,100,29.43639
-800.0,100,29.565256
-770.0,100,29.684068
-775.0,100,29.990328
-780.0,100,30.11985
-780.0,100,30.438124
-770.0,100,30.550807
-790.0,100,30.663752
-790.0,100,30.972695
-780.0,100,31.096732
-780.0,100,31.390146
-785.0,100,31.509339
-790.0,100,31.627191
-775.0,100,31.93086
29.0,2,31.93486
-785.0,100,32.057457
-237.0,39,32.105329
-770.0,100,32.400648
-785.0,100,32.548114
-790.0,100,32.674822
-775.0,100,32.983339
-800.0,100,33.113496
-770.0,100,33.409738
-795.0,100,33.548248
-775.0,100,33.662249
-800.0,100,33.960722
-785.0,100,34.086125
-785.0,100,34.390909
-780.0,100,34.533447
-780.0,100,34.652162
-770.0,100,34.993799
-775.0,100,35.108319
-775.0,100,35.42336
-800.0,100,35.558544
-790.0,100,35.679248
32.0,1,35.681248
-790.0,100,36.094007
-790.0,100,36.217969
-785.0,100,36.335029
-775.0,100,36.619277
29.0,2,36.622277
-785.0,100,36.742288
-780.0,100,37.046377
-78.0,16,37.070535
-795.0,100,37.205708
-780.0,100,37.320631
-785.0,100,37.62425
-785.0,100,37.751642
-785.0,100,38.045489
-785.0,100,38.191941
-795.0,100,38.311506
-790.0,100,38.596966
29.0,2,38.598966
-795.0,100,38.832813
-760.0,100,39.150519
-780.0,100,39.332498
-790.0,100,39.453954
-785.0,100,39.782803
-795.0,100,39.92589
-785.0,100,40.244128
-795.0,100,40.364641
-795.0,100,40.490202
-780.0,100,40.798885
-800.0,100,40.939429
-790.0,100,41.226193
-785.0,100,41.366295
-780.0,100,41.512806
-800.0,100,41.900968
-780.0,100,42.031077
-780.0,100,42.159577
-775.0,100,42.476907
-780.0,100,42.604184
-785.0,100,42.912655
-770.0,100,43.05359
-785.0,100,43.169865
26.0,3,43.173864
26.0,3,43.176864
32.0,1,43.178901
-780.0,100,43.501149
29.0,2,43.505148
-775.0,100,43.628735
-790.0,100,44.053475
-785.0,100,44.175003
-657.0,89,44.279735
-795.0,100,44.622496
-775.0,100,44.747048
-770.0,100,45.034149
-775.0,100,45.167695
17.0,6,45.176695
-785.0,100,45.304372
-795.0,100,45.614616
-770.0,100,45.738153
-790.0,100,46.048529
32.0,1,46.050524
-790.0,100,46.19101
-785.0,100,46.314378
-790.0,100,46.604429
-91.0,17,46.624984
-795.0,100,46.758208
-780.0,100,47.069213
23.0,4,47.077212
-785.0,100,47.20271
-790.0,100,47.317274
23.0,4,47.32227
-790.0,100,47.64621
-775.0,100,47.782702
29.0,2,47.78571
23.0,4,47.790711
32.0,1,47.79171
-795.0,100,48.09795
-785.0,100,48.234457
-780.0,100,48.361993
23.0,4,48.369287
-765.0,100,48.69353
-795.0,100,48.822932
-765.0,100,49.116698
-785.0,100,49.245656
-780.0,100,49.373167
-765.0,100,49.674028
-775.0,100,49.807492
-785.0,100,49.921546
32.0,1,49.923546
-780.0,100,50.236151
-775.0,100,50.361259
26.0,3,50.365512
-172.0,29,50.40118
-760.0,100,50.696491
-780.0,100,50.821848
-790.0,100,51.113013
-785.0,100,51.244249
-780.0,100,51.375433
-785.0,100,51.65741
20.0,5,51.664409
-785.0,100,51.793141
-770.0,100,52.108105
-775.0,100,52.242576
-785.0,100,52.35914
-785.0,100,52.677378
26.0,3,52.682378
-775.0,100,52.813481
-775.0,100,53.133162
-785.0,100,53.268481
-775.0,100,53.395878
-795.0,100,53.676155
-770.0,100,53.812298
-780.0,100,53.928906
32.0,1,53.930906
29.0,2,53.932906
-785.0,100,54.219653
-790.0,100,54.339654
-780.0,100,54.65166
-790.0,100,54.777942
-780.0,100,55.633142
-790.0,100,55.903713
-795.0,100,56.023476
-770.0,100,56.316797
-790.0,100,56.452584
-780.0,100,56.574487
-790.0,100,56.887515
-785.0,100,57.015828
-785.0,100,57.309148
-780.0,100,57.446435
-790.0,100,57.575592
-795.0,100,57.865988
-780.0,100,57.998824
-775.0,100,58.267902
-780.0,100,58.393615
-770.0,100,58.510163
-770.0,100,58.811982
-800.0,100,58.954
-790.0,100,59.068544
20.0,5,59.075544
-785.0,100,59.375793
-785.0,100,59.501321
26.0,3,59.505348
-790.0,100,59.808232
-795.0,100,59.941721
23.0,4,59.946723
32.0,1,59.947722
-785.0,100,60.063997
-770.0,100,60.355735
-795.0,100,60.483658
-790.0,100,60.777143
-775.0,100,60.897792
-775.0,100,61.036217
23.0,4,61.041216
-780.0,100,61.352337
29.0,2,61.356337
-760.0,100,61.479218
-780.0,100,61.770299
-775.0,100,61.907083
32.0,1,61.909084
-790.0,100,62.037529
-795.0,100,62.365559
-785.0,100,62.49246
-785.0,100,62.79282
-780.0,100,62.92549
-790.0,100,63.04304
-785.0,100,63.359845
-785.0,100,63.491425
-780.0,100,63.774728
-790.0,100,63.904871
-780.0,100,64.027008
-795.0,100,64.340626
32.0,1,64.342631
-775.0,100,64.487206
-785.0,100,64.608842
-760.0,100,64.915789
-785.0,100,65.044066
-785.0,100,65.33256
-790.0,100,65.472079
-590.0,80,65.565293
-795.0,100,65.843303
-780.0,100,65.974955
-780.0,100,66.264292
-785.0,100,66.389271
-785.0,100,66.536445
-775.0,100,66.854467
-775.0,100,66.984542
-775.0,100,67.099455
29.0,2,67.102455
-775.0,100,67.385985
-800.0,100,67.512748
-785.0,100,67.862691
-785.0,100,67.993608
26.0,3,67.997604
-795.0,100,68.115716
32.0,1,68.116716
-790.0,100,68.42804
-775.0,100,68.554083
-790.0,100,68.876611
32.0,1,68.87861
-780.0,100,69.029762
-785.0,100,69.151889
-785.0,100,69.454287
-790.0,100,69.573176
-780.0,100,69.865836
-795.0,100,69.99639
-780.0,100,70.115945
-790.0,100,70.409418
-775.0,100,70.534567
32.0,1,70.536567
-785.0,100,70.81619
-780.0,100,70.955389
26.0,3,70.959389
-785.0,100,71.081328
-446.0,62,71.357684
-780.0,100,71.48691
32.0,1,71.48891
-785.0,100,71.6031
-780.0,100,71.908604
-770.0,100,72.042662
23.0,4,72.048662
-790.0,100,72.350471
-760.0,100,72.48906
-785.0,100,72.61167
20.0,5,72.61867
-775.0,100,72.923499
-785.0,100,73.05795
-795.0,100,73.392791
-790.0,100,73.538278
26.0,3,73.542315
-775.0,100,73.666023
-780.0,100,74.000657
-795.0,100,74.137546
-770.0,100,74.252247
-790.0,100,74.529737
-795.0,100,74.656343
-785.0,100,74.957576
-780.0,100,75.083141
-775.0,100,75.198936
-790.0,100,75.486653
-790.0,100,75.607511
-795.0,100,75.899496
32.0,1,75.901494
-780.0,100,76.024115
-795.0,100,76.140557
-775.0,100,76.44522
-785.0,100,76.573929
-790.0,100,76.871192
-785.0,100,76.99472
-775.0,100,77.122466
32.0,1,77.124466
-775.0,100,77.426024
-150.0,25,77.455543
-785.0,100,77.579786
-790.0,100,77.872404
-780.0,100,78.023309
-770.0,100,78.141419
-795.0,100,78.427953
-780.0,100,78.558594
-790.0,100,78.834057
-775.0,100,78.960429
-800.0,100,79.08127
32.0,1,79.08227
-800.0,100,79.376377
-795.0,100,79.506183
26.0,3,79.510191
26.0,3,79.513183
-795.0,100,79.802719
-785.0,100,79.937765
-785.0,100,80.059845
-790.0,100,80.401091
32.0,1,80.403091
-785.0,100,80.527624
-795.0,100,80.797451
-780.0,100,80.938076
20.0,5,80.945076
-790.0,100,81.07268
29.0,2,81.075802
-780.0,100,81.381678
-775.0,100,81.514191
-785.0,100,81.629521
26.0,3,81.809308
-780.0,100,81.945542
32.0,1,81.947701
-790.0,100,82.075181
-790.0,100,82.369489
32.0,1,82.37149
-785.0,100,82.512898
-790.0,100,82.640202
-795.0,100,82.911768
29.0,2,82.915768
-785.0,100,83.044
-770.0,100,83.347643
-775.0,100,83.487415
17.0,6,83.496411
-780.0,100,83.610133
32.0,1,83.612133
-795.0,100,83.915226
29.0,2,83.918227
-760.0,100,84.035849
-785.0,100,84.315942
-790.0,100,84.455139
-795.0,100,84.572754
-790.0,100,84.960311
-785.0,100,85.079417
-790.0,100,85.374035
-785.0,100,85.505624
26.0,3,85.510623
-770.0,100,85.633618
-785.0,100,85.951826
-770.0,100,86.085899
-785.0,100,86.404026
-780.0,100,86.524544
-790.0,100,86.637245
-795.0,100,86.928622
32.0,1,86.931623
-785.0,100,87.069993
-790.0,100,87.337761
32.0,1,87.339761
-790.0,100,87.470808
-800.0,100,87.587363
-770.0,100,87.87535
-775.0,100,88.001869
29.0,2,88.004869
-785.0,100,88.120653
-775.0,100,88.400374
-785.0,100,88.5219
-790.0,100,88.805724
26.0,3,88.810724
-795.0,100,88.940359
-785.0,100,89.056312
-780.0,100,89.407059
-785.0,100,89.528186
29.0,2,89.531186
-790.0,100,89.82808
20.0,5,89.835053
29.0,2,89.840053
-790.0,100,89.974126
29.0,2,89.977126
-775.0,100,90.09191
32.0,1,90.09391
29.0,2,90.09591
32.0,1,90.09791
-790.0,100,90.408336
-795.0,100,90.5241
-800.0,100,90.809089
-790.0,100,90.943856
-790.0,100,91.063511
-790.0,100,91.378938
20.0,5,91.385939
-785.0,100,91.519594
-785.0,100,91.815136
-780.0,100,91.954437
26.0,3,91.958437
-790.0,100,92.075827
-775.0,100,92.370275
-770.0,100,92.501032
-795.0,100,92.797938
-795.0,100,92.932505
-785.0,100,93.050553
23.0,4,93.055553
-795.0,100,93.342718
-795.0,100,93.469797
-785.0,100,93.756394
26.0,3,93.761395
-775.0,100,93.907876
-795.0,100,94.02585
-800.0,100,94.311268
-790.0,100,94.446793
-770.0,100,94.566932
-785.0,100,94.880359
-775.0,100,95.010435
-775.0,100,95.311727
-790.0,100,95.443247
-770.0,100,95.561868
-785.0,100,95.880723
-785.0,100,96.001139
-770.0,100,96.327259
-790.0,100,96.450924
29.0,2,96.45393
-780.0,100,96.567462
-775.0,100,96.876685
-785.0,100,97.002435
-790.0,100,97.278677
-790.0,100,97.393822
-785.0,100,97.511256
-790.0,100,97.811076
-780.0,100,97.942994
-795.0,100,98.238066
-790.0,100,98.382413
-790.0,100,98.50624
-785.0,100,98.783751
-795.0,100,98.90529
29.0,2,98.908289
-770.0,100,99.0249
-785.0,100,99.335233
-795.0,100,99.456385
-760.0,100,99.735198
-785.0,100,99.874257
-775.0,100,99.994448
-780.0,100,100.29287
-790.0,100,100.41217
-785.0,100,100.771393
-780.0,100,100.901052
-775.0,100,101.017073
23.0,4,101.022073
-775.0,100,101.31345
32.0,1,101.316453
-780.0,100,101.446074
29.0,2,101.449074
-780.0,100,101.735644
-775.0,100,101.859925
-775.0,100,101.979503
-780.0,100,102.266785
17.0,6,102.275303
-785.0,100,102.401476
-775.0,100,102.689761
-785.0,100,102.819336
-780.0,100,102.951267
-790.0,100,103.232798
26.0,3,103.237796
29.0,2,103.239795
26.0,3,103.244804
29.0,2,103.247827
-795.0,100,103.375437
-770.0,100,103.658286
20.0,5,103.664306
-780.0,100,103.79227
-775.0,100,103.912446
-790.0,100,104.194389
-790.0,100,104.852052
